id;preparacao;energia;proteina;lipidios; carboidrato;fibra;colesterol;acucartotal;acucaradicao;calcio;magnesio;ferro;sodio;sodioadicao;potassio;vitamina_a;tiamina;vitamina_d;vitamina_e;vitamina_c
8100101;13;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100102;1;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100102;2;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100102;3;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100102;4;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100102;5;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100102;7;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100102;8;255,2;21,78;17,56;1,08;0,3;80;0,85;0;13;12,8;1,72;1659,2;0;135;3,48;0;0;0,28;1,4
8100102;13;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100103;2;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100103;5;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100103;7;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100103;99;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100201;1;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100201;2;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100201;3;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100201;4;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100201;5;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100201;13;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100202;2;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100202;4;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100202;5;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100502;1;214;26,62;11,1;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,41;0
8100502;2;214;26,62;11,1;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,41;0
8100502;3;214;26,62;11,1;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,41;0
8100502;4;214;26,62;11,1;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,41;0
8100502;5;236,66;26,62;13,66;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,62;0
8100502;8;176;21,56;8,92;1,08;0,3;68,8;0,85;0;13;20;2,52;153,6;499;306,2;3,48;0,03;0,36;0,61;1,4
8100502;99;214;26,62;11,1;0;0;86;0;0;13;21;2,89;61;499;300;0;0,04;0,45;0,41;0
8100802;99;248,66;20,53;17,76;0,42;0;62;0;0;8;17;1,37;941;0;357;0;0,82;0,8;0,49;0
